"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CD58",-0.550234894688931,8.17467921903445,-14.1252865203767,7.77904144004862e-34,4.01165167063307e-30,66.0452625261704
"ASAP2",-0.549945126322418,8.09234592360633,-13.4233100867317,2.0331466694444e-31,5.2424686871624e-28,60.5860062735088
"YBX1",-0.339097548514533,8.39396179149501,-11.9821089852597,1.58229574900438e-26,2.71996639253853e-23,49.5123934436558
"NAGK",-0.370704929210111,8.0892154546056,-11.1891039386736,6.75223245006351e-24,8.70531568624438e-21,43.5577839083493
"AOX2P",0.382882981465515,8.07499512648743,11.0935760694393,1.38838673532976e-23,1.43198207881911e-20,42.835399891171
"TTLL4",0.259348138695467,8.05312268393085,11.0561840061179,1.83996329487236e-23,1.58144845194279e-20,42.5433509170248
"YY1P2",-0.327320499179971,8.32662666458463,-10.9999501628482,2.8084880964391e-23,1.84153315620302e-20,42.1566655562603
"AL355999.1",-0.39243739093321,8.34031087765307,-10.9976824631318,2.85675106643866e-23,1.84153315620302e-20,42.1495900631063
"DHX9",-0.40415389299881,8.30068510498528,-10.8932895078725,6.25106807837539e-23,3.5818620089091e-20,41.377157977889
"AC082651.1",0.266976477367278,7.98567795377534,10.8139794505391,1.1312769129783e-22,5.83399504022909e-20,40.7829773326338
"AL160171.1",-0.325965477517253,8.50556983530544,-10.776267316522,1.49910519134622e-22,7.02807770161134e-20,40.5414244577889
"DNALI1",0.403670934720033,7.71348644696643,10.3666408698886,3.11660739592546e-21,1.33936202839897e-18,37.5576336590044
"TTF2",-0.283464935471569,8.42144076461082,-10.2973628244509,5.1836631065853e-21,2.0563192800508e-18,37.0599798028224
"BARHL2",0.225528794923796,7.96425094735647,10.2525254813219,7.19995348559493e-21,2.65215429465807e-18,36.7237608414373
"LIMS1",0.26069072347907,7.95571088671328,10.2299416880407,8.4939180619996e-21,2.92020902971546e-18,36.5644410302772
"LRRC52-AS1",-0.299166014604877,8.34655398269514,-10.1891356497646,1.14456910898251e-20,3.68908930938927e-18,36.2756610829904
"LINC02042",0.288226919558075,8.14084422574488,10.1723701285822,1.29360569829067e-20,3.92419093299116e-18,36.1392328951555
"LINC01967",0.220588939251543,7.78201920700659,9.92444872520578,7.82897315382354e-20,2.19357766757135e-17,34.3925141332172
"LINC02004",-0.226229224696389,8.35835029572031,-9.92004856269149,8.08182580644863e-20,2.19357766757135e-17,34.3625267118949
"PIP5K1A",-0.318549204182772,8.33411963408934,-9.89368256051067,9.77627771504271e-20,2.52081320882376e-17,34.1762636015339
"MIR4425",-0.264097441285987,8.11593237620667,-9.83240185946161,1.52034296279486e-19,3.73352793292052e-17,33.7370869743084
"RASSF5",-0.174181920367877,8.51781234847669,-9.79074593046454,2.05118471028731e-19,4.80816343225074e-17,33.4352883357099
"SNED1",0.309676559131238,8.33061967690905,9.72243388154244,3.34794176690436e-19,7.50666769214165e-17,32.9747641687283
"CCR5AS",-0.305032898017387,8.12342674441422,-9.69314250484151,4.12869417953592e-19,8.87153161827781e-17,32.7631597642323
"PTPN18",0.260249655175912,7.79737906462474,9.53731271958612,1.25331898127365e-18,2.58534639457128e-16,31.6743061678617
"SYNC",0.307934321446516,7.96229285376269,9.49490152681466,1.69317799596387e-18,3.35835343276372e-16,31.3872590887486
"IL12RB2",-0.287301829799166,8.40765897479069,-9.46188615456146,2.13903315457249e-18,4.08555332523346e-16,31.1586030431928
"AL590440.2",-0.264330387277028,8.26773556537831,-9.42999599814435,2.67990040460732e-18,4.93580228091427e-16,30.9355957090016
"EGOT",-0.305265324039905,8.35777820336212,-9.38261129574284,3.74373801196927e-18,6.65739894059501e-16,30.6121263737659
"MCM6",0.165249027606536,8.51141903849018,9.37368715709587,3.98667723135008e-18,6.85309816069078e-16,30.4889417197996
"RPL31",-0.181723677757953,8.50536361503922,-9.298827685551,6.74813907993217e-18,1.12258558823259e-15,30.0090048798352
"AL034351.3",-0.306658585671693,8.26569685692714,-9.25305892333024,9.30052591968327e-18,1.49883788024396e-15,29.7216929646297
"CD207",0.255120550503533,8.27032150127316,9.23625624884634,1.04610270347056e-17,1.63477322478718e-15,29.6074159831046
"AC119673.1",-0.237766453733465,8.49013229576109,-9.20535940664409,1.298257529302e-17,1.9691511995913e-15,29.3736351043113
"AL513325.1",-0.36620073722974,8.56775672184492,-9.19976780335039,1.34995089987297e-17,1.98905622589855e-15,29.3047165504939
"ARL6IP5",-0.202977135956645,8.50435957918755,-9.18026565857448,1.54675541972329e-17,2.21572713875361e-15,29.1951992882822
"AL713965.1",-0.236947158269353,8.45833377914002,-9.16247968902677,1.75094189135598e-17,2.44043441451967e-15,29.0917919110017
"GPD2",-0.202570067659338,8.47191663340092,-9.13310739716986,2.14828165322658e-17,2.84068935530499e-15,28.8873321224979
"AC093575.1",0.195410528253527,7.76020364567603,9.13513507952239,2.11818600154044e-17,2.84068935530499e-15,28.8848546730852
"CCL20",-0.171738754337372,8.50193141701897,-9.09849224636512,2.73267170597359e-17,3.52309699692645e-15,28.637775140251
"TANK",-0.338862028659128,8.01526754963518,-9.08082386443487,3.08923133565941e-17,3.88565024341355e-15,28.5476273762034
"AKNAD1",0.207423048571017,7.6311235504416,9.05526568002832,3.68814956177908e-17,4.52852078335588e-15,28.273870738837
"PPIH",0.283460970551094,8.16155457569222,9.02335852313788,4.59975577370772e-17,5.51649779651412e-15,28.1605525302113
"AKIRIN1",0.202059995359545,8.34274614359449,8.99538060034065,5.58098612635656e-17,6.54116942127745e-15,27.9704605417204
"NDC1",0.216228401702377,8.51029132601605,8.94726567342911,7.7772602576771e-17,8.91274025529796e-15,27.5565703038434
"AL606760.4",0.195709704958829,8.52240521837356,8.91335672928066,9.82111517727019e-17,1.10103241237353e-14,27.3165032630634
"IL22RA1",0.1934292632735,7.83935771561328,8.89253020896592,1.1331926589294e-16,1.24337756214871e-14,27.2656084344347
"MIR128-1",-0.25763701555202,8.53685923616533,-8.86799995905214,1.34092459490453e-16,1.44065586165055e-14,27.0555630951503
"PLXNA1",0.155035587004016,8.13195054425901,8.81140664176144,1.97544183202163e-16,2.07905174035419e-14,26.7384904049067
"SPOPL",0.231930401531953,7.97096471861564,8.79110382234953,2.26931135881735e-16,2.34056773548422e-14,26.6034341373637
"ZDHHC3",0.206033518991982,8.22269141838204,8.76178772622994,2.77164361810889e-16,2.80262081148775e-14,26.4094969628943
"CFAP100",-0.151789220217301,8.5802679436898,-8.74247599151457,3.16128422418653e-16,3.07598919700565e-14,26.1539235266716
"ATF6",0.187312469708349,7.81779743655264,8.7258412558843,3.54012791719626e-16,3.31935266708747e-14,26.1435088377978
"MYL1",0.250452206001344,8.31220456949904,8.72218665398238,3.62920749672635e-16,3.34211126082461e-14,26.1423569963262
"USF3",0.218629247080159,8.47857938857251,8.72915168183942,3.46131025777307e-16,3.30555129617329e-14,26.1183188755126
"RPS7",-0.153401882427226,8.62053366666701,-8.74326824429227,3.14428025414972e-16,3.07598919700565e-14,26.0991239267524
"GRHL3-AS1",-0.274487439100189,8.34802950904406,-8.70013240027402,4.21592992151717e-16,3.80836616308462e-14,25.9968105366871
"LINC01473",0.255794438391942,8.00122779972193,8.69780057923269,4.2832118956546e-16,3.80836616308462e-14,25.9844822714699
"AC097015.1",0.160144200245104,8.20490627087811,8.65653591896662,5.66623526397888e-16,4.95267377226087e-14,25.7127148957468
"AC098935.2",-0.219431689967707,8.37800496584931,-8.56832847228073,1.02814618750696e-15,8.83691648162232e-14,25.1243567396431
"ANAPC1",-0.151538745008206,8.56494097080561,-8.53884850172969,1.25379027950824e-15,1.05996663465967e-13,24.8209009667688
"LOXL3",0.191196323518457,8.48789138151242,8.48615509400501,1.7858940456442e-15,1.48546057957857e-13,24.5047390033315
"FARP2",0.170141663643594,7.68705966490885,8.47835838406449,1.88167448319561e-15,1.54028496981583e-13,24.4372910658321
"RBP7",-0.238398292207533,8.43012508141592,-8.44947766715734,2.28292537556206e-15,1.83953846277711e-13,24.332382849814
"ASXL2",-0.138925891952634,8.60971804097283,-8.36090816464977,4.12073272499098e-15,3.26932594811977e-13,23.5782134609017
"EIF2D",-0.239854249941307,8.21591477985704,-8.32080882395479,5.37791521058631e-15,4.1393893643274e-13,23.5206866062453
"ZDHHC18",-0.173929859033374,8.41073567415087,-8.32206906496471,5.33315544027089e-15,4.1393893643274e-13,23.5107833431733
"NEK7",-0.199636620562055,8.52445780759409,-8.31437383022248,5.61232943573167e-15,4.21348622688965e-13,23.3977016453704
"ABHD10",0.198816233523692,7.62881321127805,8.31369632532966,5.63759064679825e-15,4.21348622688965e-13,23.3238050307576
"CBWD2",0.217452118345877,7.92701949462886,8.28890000068132,6.64380286461033e-15,4.80214982414776e-13,23.304253713247
"NEMP2",-0.16652817901647,8.5895950756276,-8.28752404479278,6.704572180311e-15,4.80214982414776e-13,23.1443007396837
"SOAT1",0.198534250718679,7.46640033248994,8.3049593273315,5.97361997718303e-15,4.40085117461899e-13,23.1255338364796
"AC012507.3",-0.182878508574698,8.4898174131034,-8.25442098045248,8.34443095095292e-15,5.89482608411839e-13,23.0362951738771
"AL031291.1",-0.136740704506038,8.30346560310829,-8.23160694759147,9.69984641449822e-15,6.75974431886045e-13,22.9447661255294
"TMEM87B",0.131986971802791,7.44580639140586,8.15691776732237,1.58513965510357e-14,1.08994202684921e-12,22.1300341685152
"CXCR4",-0.195996893781833,8.48956373366739,-8.08101468663399,2.60449936181127e-14,1.76728989590273e-12,21.9221365356107
"P3R3URF-PIK3R3",-0.20074338322043,8.35503775948838,-8.02910573112617,3.65220012337859e-14,2.44602545925499e-12,21.6455253642035
"LINC01964",0.156724531072566,8.375744731117,8.02062138870592,3.85924673364031e-14,2.55155582120296e-12,21.5791144187872
"SESN2",0.16184244941322,7.64235006437064,7.9557304761302,5.87742673082919e-14,3.83669489251723e-12,21.0271957233089
"POLR1B",-0.156241633231331,8.53650501970521,-7.90368667007321,8.2241242930836e-14,5.30147612242902e-12,20.7514982755423
"LRRN1",-0.137865074538823,8.46996509010846,-7.86665995187836,1.04365356289819e-13,6.64459435045178e-12,20.5785020401374
"AL021026.1",0.279891433008785,7.80443099813145,7.85095964746671,1.15436748975068e-13,7.25984529834667e-12,20.4841618004895
"FAM178B",-0.10433911506862,8.53162340100526,-7.8452696161067,1.19729428347707e-13,7.43909231312198e-12,20.3860381510619
"ATOH8",-0.196661684546761,7.79441141234703,-7.81001343110438,1.50073092408982e-13,9.21341592325141e-12,20.1903465491764
"C8B",-0.170938938998688,8.54981352121888,-7.79388675462591,1.66375815432732e-13,1.00941185904306e-11,20.0459048125357
"AL118511.2",-0.225180644853875,8.34271853413779,-7.76316304237905,2.02426300436778e-13,1.19989934638214e-11,19.9791288440086
"RPRD2",-0.397994025970607,8.07119913452001,-7.75712889466253,2.10364531937695e-13,1.22499567343709e-11,19.9309908736285
"ZSWIM2",-0.206415566812727,8.38860317497054,-7.75635032817629,2.11410926771186e-13,1.22499567343709e-11,19.9259779490478
"AL445685.1",-0.145866988081928,8.60324936747391,-7.77163141052455,1.91782669757445e-13,1.15002700923156e-11,19.818764594679
"AL355981.1",-0.204050418305317,8.38639884307628,-7.7274149695794,2.54170050349336e-13,1.44039005456211e-11,19.7476650590047
"AC009961.3",0.190991569094533,7.52649294231013,7.75025313775735,2.1978538342006e-13,1.25937024699695e-11,19.6371719557493
"AC009970.1",0.258001652257042,8.44814463015089,7.71886714299123,2.68363028674795e-13,1.50429145529991e-11,19.6191743848614
"MATN3",0.189086658300802,7.95557991051919,7.67810156691,3.47578965720821e-13,1.90687736832157e-11,19.4536262407442
"AC012076.1",0.19559625513823,8.15297335594406,7.6389574052853,4.45230006521324e-13,2.36706303467058e-11,19.2284558232642
"ALPL",-0.126094125861289,8.52482136082856,-7.65164540449832,4.10927906430559e-13,2.23068969838147e-11,19.1879495089456
"ACP6",-0.0799015396237209,8.67240841258345,-7.69154003347329,3.19199524951008e-13,1.77001284964769e-11,19.0584194449686
"LEMD1",-0.206629152669796,8.41764248401335,-7.59853220964072,5.7450078436536e-13,2.9926268131032e-11,18.9414846430832
"TNFRSF4",-0.0910383714407851,8.6428252501369,-7.64632265439454,4.24988004608371e-13,2.28298243725559e-11,18.9042519328033
"C3orf36",-0.120161609009931,8.45475194396283,-7.59287755957759,5.95316814889733e-13,3.07004881438635e-11,18.8879710497388
"CASZ1",0.180461914347284,8.32164583596166,7.57394514163815,6.70581437148022e-13,3.32518122247341e-11,18.8111184858678
"ACSL3",0.216505140132062,7.75340134865292,7.58642745892291,6.19971465168142e-13,3.13450279007069e-11,18.8053549187753
"TRIM63",-0.209230304633363,8.10536881518673,-7.55893038975706,7.36887006562518e-13,3.51863545633602e-11,18.734534532439
"AC079790.1",0.1269309138976,7.59369822448093,7.58809084064133,6.13518575825536e-13,3.13258940151712e-11,18.6796397867141
"RCAN3",-0.131601310057882,8.5882348402533,-7.58082526142893,6.42201407217262e-13,3.21537151166934e-11,18.6538353576059
"LINC01890",0.127681459891905,7.39044359869893,7.6154282754805,5.16490862410957e-13,2.7179014055646e-11,18.6331566688252
"SETDB1",-0.257328655177273,8.49742975900678,-7.55588272144756,7.51115579411502e-13,3.5536725165368e-11,18.6274472237707
"HAO2",0.132622120602845,7.72582830654787,7.56011592219401,7.31424325024424e-13,3.51863545633602e-11,18.6119338706418
"UROD",0.152468791874255,7.64929145656384,7.56266852446678,7.19797836332957e-13,3.5018843792161e-11,18.5731601027366
"FAM102B",-0.211802156061317,8.44404946936396,-7.53352456874577,8.64128317721955e-13,4.01469345449741e-11,18.5295661920986
"ATIC",-0.1644263235313,7.7149150648255,-7.55042503083927,7.77276772647668e-13,3.64401483322184e-11,18.5229607057697
"AC008063.1",0.203143620127422,8.2492905547673,7.52058047889296,9.3706479997251e-13,4.31468140487342e-11,18.4982760455454
"AL355483.2",-0.113255741629946,8.6371091859328,-7.56782087595265,6.96883178717617e-13,3.42269195490167e-11,18.4501633877178
"LINC01812",0.203375812965109,8.15427460910922,7.50915900633659,1.00644740705598e-12,4.5931409541484e-11,18.4359518001688
"AC118470.1",-0.213569812381492,8.10607710031485,-7.47860667909715,1.21795960913405e-12,5.50966465289852e-11,18.2464174047941
"ATP1A4",-0.115319157010089,8.35528528739635,-7.46686429061842,1.31044123415065e-12,5.87647429957817e-11,18.1614277272485
"ZNF513",0.142697498024293,7.98700409446643,7.455847154245,1.40349696903206e-12,6.18618279427207e-11,18.1035026351809
"FBLN7",0.228998850322906,7.80602613902175,7.46511139304174,1.3248287542235e-12,5.88977748752638e-11,18.0965680556182
"WNT6",-0.218620051662215,8.18315104309938,-7.44750749520479,1.47824642175867e-12,6.40614856891553e-11,18.0604932777225
"RPS16P2",-0.181789902100347,8.07095619235493,-7.434298329089,1.60475630904488e-12,6.78338384077416e-11,17.9773843368578
"AL451062.2",-0.170920250064499,8.53487728301497,-7.43715666046937,1.57650520248874e-12,6.71903911506979e-11,17.8637374741691
"ZNF687",-0.129164552317964,8.63513230822242,-7.44875515683438,1.46681854528609e-12,6.40614856891553e-11,17.743155323098
"HDAC1",-0.168038219405156,7.89115114000413,-7.39068341595159,2.10322794307912e-12,8.74705363101536e-11,17.663996498591
"PLCD4",0.180167184794701,7.74615018736883,7.39105016211173,2.09845795650005e-12,8.74705363101536e-11,17.602524673368
"AC114752.2",-0.0814371220653141,8.68793521794094,-7.43871537120951,1.56130663703639e-12,6.70971527266389e-11,17.4311716038505
"AC064875.1",0.159563923889802,8.50450449141335,7.35961958563686,2.54858220067435e-12,1.05144307271021e-10,17.3781168539543
"NXPH2",0.155949063013998,8.3259299302862,7.332946711948,3.00433141288862e-12,1.21994780285564e-10,17.3537391880632
"ASB3",-0.157314016046246,8.49353078788028,-7.3429234832564,2.825150337291e-12,1.15629367376267e-10,17.3378245294637
"AL031599.1",0.243631835436208,7.86400174184348,7.30520963658863,3.56350874803818e-12,1.43570426669007e-10,17.1602908762549
"SPAG17",0.236505372420964,8.17333033445909,7.27300976897565,4.34226921115463e-12,1.72254479399418e-10,17.014319020426
"AC055753.1",-0.137909470523809,8.38988946909084,-7.24903580718103,5.02891008387962e-12,1.97970147347841e-10,16.8418372107383
"H2AW",-0.212296419492653,7.69980506084021,-7.27453629538381,4.30182382661367e-12,1.71972910649974e-10,16.8356080749733
"ZAP70",-0.126535330649433,8.44032928472871,-7.23809063713704,5.37697745170601e-12,2.0693337849588e-10,16.7513566676564
"LAMTOR5-AS1",-0.195361601188761,8.47471972264835,-7.23583065070652,5.45175190453368e-12,2.08256922753187e-10,16.7121901640715
"AC010969.3",-0.24592755150926,8.10974092676415,-7.21023468456141,6.3735967824154e-12,2.38178540629828e-10,16.6370044835542
"LINC01763",-0.312211202340434,7.95574886892364,-7.21573400534609,6.16339405123854e-12,2.32004548337498e-10,16.6309667817318
"AC066580.1",0.138531354944663,7.63300820024328,7.24092441433998,5.28464586632313e-12,2.04909163403221e-10,16.6036887500444
"ACTBP13",0.0906998772821778,8.516984471195,7.22812494807311,5.71449386558256e-12,2.16688565182421e-10,16.5896265030318
"AC068544.2",-0.175629836400652,8.63508307840196,-7.24669868335901,5.10131665535576e-12,1.99299166603558e-10,16.5548322256382
"AL160006.1",-0.187026091802889,8.31843181845337,-7.18998733808957,7.21022216875768e-12,2.67504429671103e-10,16.5111949463972
"AL353708.1",-0.192604929394144,7.9031281234697,-7.16370350940276,8.4594308654847e-12,3.11609178380747e-10,16.3124742867443
"FTCDNL1",-0.2513695460501,8.12276775257696,-7.1471739512836,9.35188861579886e-12,3.41798558328127e-10,16.2650200382523
"STAG1",0.247284097219128,8.24421078156439,7.1461249666047,9.41155619208728e-12,3.41798558328127e-10,16.2547577688369
"AGFG1",0.147244822337716,8.37565730600133,7.1341568042789,1.01194541143355e-11,3.59903619776745e-10,16.153728995961
"AC241644.3",-0.254232762362336,8.39675707511999,-7.13207538866249,1.02478127208036e-11,3.61972398638249e-10,16.1417695790436
"CLCN6",0.124693409107557,7.69100802624621,7.14122739523966,9.69513822310128e-12,3.49635159556177e-10,16.056078627899
"DUX4L26",0.196900134163692,8.23611655004755,7.10923372606684,1.1766251977406e-11,4.12779329574713e-10,16.0436473666245
"DLEC1",-0.15338605703077,8.45165643572929,-7.07554126459608,1.44187813088718e-11,5.02416589255757e-10,15.783058380111
"ORC1",-0.0574278827303013,8.65154724970347,-7.13885979018184,9.83523150890113e-12,3.52224228412522e-10,15.7471830930311
"AC084030.1",0.201807128949584,8.25083157062814,7.05359225696648,1.64551641110728e-11,5.65728542138682e-10,15.7162930740751
"LINC02257",0.157601766791278,7.78024816110508,7.07043153529578,1.4869462122846e-11,5.1464306152696e-10,15.711176586676
"MROH3P",0.123795911082192,8.4225580715307,7.03542318537756,1.83531014846413e-11,6.26800956001954e-10,15.5480087269154
"COPG1",0.161208882563536,7.77965505200438,7.02215565771704,1.98736762733386e-11,6.74266766721101e-10,15.4281225147948
"HCRTR1",-0.0948581995813912,8.45382572248331,-6.99008409332783,2.40806860767056e-11,8.06390247386823e-10,15.2815516856963
"EFHB",0.181891841036545,7.7818421565801,6.97954899122348,2.56453293255966e-11,8.4777540597501e-10,15.1852114932327
"AC073409.2",-0.0948469167449771,7.58648684277569,-6.99466567491589,2.34299329786914e-11,7.8972656451707e-10,15.0778266932784
"AL359258.2",0.203844681743613,7.56527580299074,6.98653332853131,2.45972369494459e-11,8.18373877085759e-10,15.0487016961236
"LINC01350",-0.219913249712769,8.35649582334623,-6.93856872374682,3.2741858617936e-11,1.05531103057935e-09,15.0310503317571
"PRUNE1",-0.202994287938784,8.3687032082152,-6.92600413375535,3.52818704754456e-11,1.12313954346835e-09,14.9545269241417
"CLK1",0.250937839066789,7.65207033991096,6.93484656698597,3.3474940550996e-11,1.07223769205892e-09,14.8351591825481
"BZW1",0.144935963192545,7.58859454004649,6.94759195182795,3.10296814815664e-11,1.01278523671163e-09,14.8324888891103
"SH2D1B",-0.097936959389812,8.59186462303833,-6.9414397320736,3.21872284137545e-11,1.04395935175932e-09,14.7986191947114
"CERS2",0.192453709626066,7.99859749306144,6.88942344081691,4.38334407893458e-11,1.37834789116254e-09,14.7645296540102
"PCCB",0.0959510100259078,8.61078424468523,6.95229823881804,3.01719459295605e-11,9.91061943686264e-10,14.7279270099717
"DAB1",-0.159142621146773,8.57078776114165,-6.9070051711821,3.94952314482611e-11,1.24955158637229e-09,14.6591276663157
"IER5",-0.231236956390521,8.41584843942421,-6.86933659484703,4.93655476449865e-11,1.5336031879831e-09,14.6056024212162
"AL162258.1",0.159626897474939,7.80211413858015,6.8737432479725,4.80959247663606e-11,1.50321626678862e-09,14.5825055374015
"AL162595.2",0.256579639356949,8.29888099441038,6.85940094703868,5.23504063531135e-11,1.61659308720363e-09,14.5733677932774
"IQCF5",0.131904882524849,8.11450679405102,6.83976667784705,5.87805283303876e-11,1.78312461529299e-09,14.496591705837
"AC112721.2",-0.114514359685075,8.25727398425334,-6.83114688648607,6.18432531419785e-11,1.84350090435366e-09,14.4405638918397
"ERFE",-0.137013928671682,8.48345073056145,-6.8387107636085,5.91475337014024e-11,1.78376509531072e-09,14.3819182882282
"PRRT3",-0.144530246205918,8.53235934908653,-6.84766385758226,5.61058295270809e-11,1.71205776846838e-09,14.3752998139844
"SNIP1",0.155299941988696,7.62206433953646,6.84788279028993,5.60334111944287e-11,1.71205776846838e-09,14.2882408468268
"DPP4",-0.265504266688085,8.08955769684297,-6.80653663887407,7.14780034323904e-11,2.09511400155436e-09,14.2870960448496
"LRRC3B",0.297783832004362,8.06847948778717,6.79230144226729,7.77098753758553e-11,2.26412331815416e-09,14.2112572319199
"MDM4",-0.193910085121107,8.25961923367852,-6.77792040990005,8.45476326553014e-11,2.42228967557438e-09,14.133845313621
"AC093496.1",-0.0987436876167758,8.55146766896314,-6.81119178442036,6.95488092708614e-11,2.06128281270018e-09,14.1292237910608
"SRARP",0.199673958496271,8.39547910123074,6.78649343881812,8.04033231413079e-11,2.32943785078497e-09,14.1182545158615
"AL512328.1",-0.109515345993537,8.63560269855238,-6.83665723247565,5.98677492244701e-11,1.79498827180577e-09,14.0870681603167
"OR11L1",-0.143977063059526,8.36899756749684,-6.77192734936459,8.75688039150072e-11,2.49498520325797e-09,14.0745874139979
"GMEB1",0.120973390614244,7.57161314897889,6.80647755525794,7.15028241755996e-11,2.09511400155436e-09,13.9961912335579
"FAM43B",0.179243596756179,8.0641750531035,6.73941010261572,1.05907761360468e-10,2.98451543899418e-09,13.9214646051694
"APPL1",0.100577937008717,7.43345223707308,6.78162677442283,8.27307646741853e-11,2.38347795209371e-09,13.695573381371
"AC108479.1",-0.143743953367578,8.35934252998644,-6.6984006010019,1.34492924524467e-10,3.76945658572105e-09,13.6622364869995
"MIR9-1",0.279897422406088,7.86006014268338,6.68382212759546,1.46382291114586e-10,4.08050527177254e-09,13.5472782224598
"LYSMD1",0.250247477668796,8.32385989939657,6.67637183791962,1.52851271381125e-10,4.21526206691155e-09,13.5243977917378
"AC104850.2",-0.102381407753334,8.64367600241055,-6.74324904829708,1.03560056208756e-10,2.93439126301404e-09,13.4991909113419
"GALNT14",0.130276653032161,8.28143754562574,6.66245822492969,1.65693337864029e-10,4.54510927321702e-09,13.4769433578134
"CSPG5",-0.113988905145203,8.48442590341898,-6.63718631195751,1.91786719055316e-10,5.22143453522926e-09,13.2357565918572
"SGPP2",-0.180446480348719,8.27977929471926,-6.61773650196823,2.14580718343831e-10,5.76350398176633e-09,13.2297645428654
"ITGB6",-0.0911643422649498,8.63732807979007,-6.679908160814,1.49746438663572e-10,4.15184077520452e-09,13.1590431191967
"AL136985.3",0.18931738357844,8.3445556552274,6.61118613099498,2.22840904789595e-10,5.95435516062146e-09,13.1586462557032
"AL603832.3",0.146323928426102,8.39814584578852,6.59881568281757,2.39301241432278e-10,6.36121908281575e-09,13.0674467361508
"PP2672",-0.0957730989970086,8.60117386978072,-6.63144725831312,1.9825293249371e-10,5.35282917733017e-09,12.9960933256175
"AC104695.3",0.165584577475248,7.49454201050709,6.63665731047442,1.92373969690432e-10,5.22143453522926e-09,12.9560033336314
"SMYD1",0.17599439127193,8.34544245187438,6.56927105393719,2.83600600576934e-10,7.34938842801631e-09,12.9287197866142
"PPP2R5A",-0.23957275054809,8.30438088110956,-6.55705483807584,3.04187911583696e-10,7.80446298525931e-09,12.8838838700226
"TGFBR2",0.202429755216258,8.14057837896329,6.54594493297104,3.24181055748086e-10,8.23547637681221e-09,12.8410664947545
"ATP1B1",-0.116162869307283,8.39428752595631,-6.55304161196235,3.11266232708222e-10,7.94653446572427e-09,12.8335010235831
"CHCHD5",0.17501046793277,7.60071859769293,6.58272666535463,2.62506931152869e-10,6.94229868695049e-09,12.7599084584848
"GAS5",-0.20691933074978,8.55240640165131,-6.5657951944664,2.89314743675357e-10,7.45998066566907e-09,12.7532598731127
"KCTD3",0.135502712422874,8.55903972430968,6.58045861828493,2.65951142080884e-10,6.99750020260774e-09,12.7365926662232
"CDA",0.147337995656189,8.09123644333453,6.52318765394936,3.69248117179278e-10,9.24375019559968e-09,12.7177240014902
"TRIM58",-0.182776660546213,8.44784716216195,-6.53365338272088,3.47806017859961e-10,8.7923315397246e-09,12.6905150667259
"PPP2R3A",0.285730862706491,8.10635766819769,6.51965339224928,3.76778217939281e-10,9.38669212518296e-09,12.6850048513291
"SNRK",0.136878275135648,8.32181210244145,6.51842961574243,3.79420581644735e-10,9.40707663241298e-09,12.6612884638692
"AC074044.1",-0.18063306201067,8.00915358402228,-6.50373975547209,4.12594502877306e-10,1.01806212982692e-08,12.5809969636459
"AC116609.1",0.124165032633246,7.47875168685305,6.57157934893297,2.79867284355177e-10,7.28927063343256e-09,12.5628093697375
"AP4B1-AS1",-0.125978878508807,8.56035487883443,-6.52921805869958,3.56739506350834e-10,8.97417382561585e-09,12.5229411203575
"TXLNA",-0.111986989444829,8.65634677422803,-6.57441662499461,2.75344509807348e-10,7.20787633033754e-09,12.5218812436418
"ACTG1P22",0.173196351886038,8.15562681723807,6.48043424910429,4.71153878500883e-10,1.15577502899344e-08,12.4815107715557
"UQCRC1",0.194934800696076,8.0380623916376,6.47978818654299,4.72888367495861e-10,1.15577502899344e-08,12.4695426804173
"AL139254.3",-0.14010208280627,8.43107822941145,-6.44531378407704,5.75120941610183e-10,1.37310124809431e-08,12.2155535478393
"MTX1P1",0.156214177406161,8.32659658495604,6.43451907915806,6.11380704202699e-10,1.44627995026299e-08,12.194743263689
"C1QL2",0.221310755564938,7.62338149032464,6.46733349616236,5.07577541292674e-10,1.22316700020856e-08,12.1513668347186
"LINC02017",-0.133651858547875,8.6224222909369,-6.47177982136623,4.949159501678e-10,1.19825425118091e-08,12.0648181466354
"RBMS3",0.17924746346612,8.41834820176271,6.42074947919646,6.60903574262276e-10,1.55629211528336e-08,12.0551959324717
"UTP11",-0.120541437205405,8.59751916246233,-6.4535451737561,5.48897927343982e-10,1.31658912154089e-08,12.0308333242461
"LINC01701",0.248167517583106,8.33362098386251,6.39668975065648,7.57051101284255e-10,1.75072310731969e-08,11.9707917433622
"SLC50A1",0.0974490943462884,7.43763339117715,6.47536944658957,4.8492059633256e-10,1.17959222419199e-08,11.9695899928718
"DES",-0.0831843533613758,8.5600407188262,-6.41898744512394,6.67518284290097e-10,1.56472354185638e-08,11.9063629190388
"TET3",-0.133702801521672,8.63543085502431,-6.44000527348206,5.92680565993501e-10,1.40850399946013e-08,11.8610671611382
"AL513314.1",0.123858100573412,7.75186669879639,6.3846262667509,8.10297583117953e-10,1.86549314113361e-08,11.7902725525786
"RPL22P3",-0.0926709946399247,8.61399543016019,-6.41545752178784,6.80965717100847e-10,1.5890227163299e-08,11.7533138944107
"AL606804.1",-0.22061021585875,8.30707565633709,-6.33522963091746,1.06935532379094e-09,2.41815092743326e-08,11.6685151283849
