"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"NTRK1",0.0476003048981631,7.26762455225883,3.17808099745833,0.00166594594915826,0.00613057287932684,-2.74294228118936
"ASH1L",0.0166651553661795,8.73825880054696,3.28472893278024,0.00116428947290227,0.00455556965990666,-2.74678421388101
"ZNF670",0.019088461225695,8.71413906423804,3.24632356556914,0.00132604952723727,0.00506550919404636,-2.75035125279508
"AC098969.1",-0.037358622037984,8.64669936682008,-3.10398064028743,0.00212515958853872,0.00748085187583221,-2.75994998365666
"SYF2",0.0177559873231315,8.70589317420157,3.22833582694205,0.00140877594504227,0.00533270485748664,-2.76123238564349
"DCLK3",0.0404947571813604,8.68276210896342,3.18635992819543,0.00162078932274009,0.00597883443302619,-2.76290970789734
"AC010746.2",0.0863863407123565,7.5152315075276,3.05118145167781,0.00252076652966438,0.0086490971347167,-2.76547389861106
"AL359924.1",0.0500670746457374,8.6447218152293,3.11824320766524,0.00202858436668967,0.00722573629676867,-2.7717383131536
"GXYLT2",0.0474969247450834,7.44472619757636,3.07786514765521,0.00231306425811327,0.00804347429473373,-2.7892091390697
"PEX14",0.0365902879242997,8.61929230948692,3.07021602463599,0.00237093142913956,0.00821147977170766,-2.79280238556427
"BTF3L4",0.0320425281322586,7.40612617135099,3.09578542670811,0.00218255227801092,0.00763079464251006,-2.79483957324851
"DLGAP3",0.034794753591744,7.27315570729508,3.15840154790199,0.00177799905417856,0.00647937922474538,-2.79724382902724
"LINC01118",-0.0391284119034372,8.62545388181745,-3.05237857230277,0.00251109221331361,0.00862163951002548,-2.80982434850575
"CKS1B",0.0297266919360408,7.33924791750482,3.11834755380393,0.00202789298551317,0.00722573629676867,-2.82538698421705
"ZNF385D",-0.0275282172859286,8.6881414316764,-3.16243115039808,0.0017545025622902,0.00640791056213212,-2.82871513339628
"ATG4B",0.0289251974365886,7.35108067113386,3.11073460364254,0.00207891014858532,0.00736834339261477,-2.83092990669395
"SCN2A",0.0379618019544408,7.4066177674954,3.07643597374749,0.00232377641030392,0.00807527961451302,-2.85042654799156
"BECN2",0.0513193843862691,8.63015274103516,3.0687052873861,0.00238251695825607,0.00823501337381136,-2.85059126118841
"KIF14",0.020613328189922,8.70138787993977,3.19120707601812,0.00159487970646123,0.00590013963143512,-2.8532201575056
"AL392172.1",0.0211108303033266,8.70870637346177,3.20357224458654,0.00153051091158899,0.00571117566647209,-2.85413168567635
"AC007383.1",0.0305166601167062,7.34539349869567,3.10571299545521,0.00211320720660149,0.00744385899210648,-2.85440249111309
"AL359510.1",0.0408605068270885,8.62779651656546,3.06309258285064,0.00242601775077438,0.00835326627433585,-2.85444679239894
"PPIAP66",0.0226108659574759,8.72552550824938,3.22797717836436,0.00141047303192007,0.00533270485748664,-2.86083656904271
"NEXN-AS1",0.0158323456876236,8.76065968522996,3.27067962373232,0.00122120839306868,0.00474229795410782,-2.87434752007293
"AC009487.2",0.0413727829303982,8.60309584213326,3.01944095602193,0.00279012029987069,0.00940434665779945,-2.87568275298339
"PTGER3",-0.0300890870251301,8.69842128473003,-3.16184881158929,0.00175788031793518,0.00641570332596724,-2.87915019853697
"MYBPHL",0.0177895831753949,8.72400133541531,3.22026578923464,0.00144742431674419,0.00544446914766579,-2.88213325763162
"AL137803.1",0.0333679606580235,8.68006077177379,3.14400064467919,0.00186436873749043,0.00673759606113396,-2.88311667840308
"AC140059.1",-0.0276522035038571,8.67735017264022,-3.11664523048436,0.00203919952774498,0.00725251859626267,-2.88689957528489
"GPR161",0.0171580929198738,8.73149748079945,3.2150326014452,0.00147300964696473,0.00553666964241772,-2.93427576259654
"AC108868.2",0.0269197517019436,7.30618204500946,3.09501827713737,0.0021879972887758,0.00764464906383253,-2.94356142717702
"AC016910.1",0.0194362799719141,8.73305643238206,3.21187804820336,0.00148863428100558,0.00557508132690323,-2.94400031535713
"DBT",0.0194553685967676,8.66735438344976,3.09636548647058,0.00217844347595387,0.00762159634022668,-2.95080276592366
"LINC00303",0.0163870238429239,8.72834553621422,3.19827103181213,0.00155780666804235,0.00580463077102195,-2.97162832628227
"RAB17",-0.0175933481452953,8.69372111707161,-3.12437919055996,0.00198829598055418,0.00711564356121994,-2.98847287211876
"SLC41A1",0.0158707972541349,8.74543006285261,3.21443823095729,0.00147594191641732,0.0055436507377743,-2.99684051212564
"GBP5",-0.0259645173456234,8.72496673657323,-3.17773329355511,0.00166786770403249,0.00613057287932684,-3.00381362323016
"KYAT3",-0.0400207395342901,8.65660091914268,-3.04241362838668,0.00259267422322787,0.00886045127182645,-3.00565264137944
"ALK",0.0445803818210928,8.66892357036106,3.07487845240909,0.00233550259972017,0.00811056357357368,-3.023242938223
"MIER1",0.0395406593869593,7.41255002149891,3.01263228992052,0.00285123984984094,0.00956658679611562,-3.02938522822229
"PSME4",-0.0249757746364358,8.68423952354435,-3.078277233254,0.00230998399485516,0.00804101533402658,-3.04031077831361
"PGBD2",0.0189219238258576,8.66962170228445,3.06568209329182,0.00240585790296761,0.00830981490748818,-3.05150278583106
"LINC01958",0.0288432722290621,8.64291493543228,3.01792105407046,0.00280365874980601,0.00943866135252606,-3.05467725549047
"DIS3L2P1",0.0250067711468696,8.73793971670041,3.176459187787,0.0016749272158285,0.00615213650429314,-3.07301482999115
"AC074011.1",0.0181049513106558,8.66991701485586,3.05925967226731,0.00245614330545035,0.0084442206841383,-3.07472149022352
"AL672291.1",0.0261577895061096,7.27978224087225,3.06303752055609,0.00242644810528507,0.00835326627433585,-3.07577215210952
"AL031432.5",0.0459023392290231,7.35355588397361,3.02233810080428,0.00276448034515476,0.00932401905818383,-3.08684130927543
"AL353807.1",0.018112585262487,8.70658984850323,3.11820058904048,0.00202886681359725,0.00722573629676867,-3.1029798464305
"CPSF3",0.0290689577713116,7.32061326331377,3.03398179894171,0.00266360126454931,0.00904887465170012,-3.1033396718794
"GPR45",0.0242922000501751,8.65861115988249,3.02716697398591,0.00272222513822101,0.00921767238201298,-3.10777462026307
"AL031429.2",-0.0293718248913229,8.68590644185323,-3.06099917161472,0.00244242892708873,0.00840267243295304,-3.1088330838609
"ARHGEF33",0.018205559299128,8.68179282178363,3.06939577278717,0.00237721531616622,0.00822219945370167,-3.11151224768603
"RNF25",0.0187127992527542,8.70130563406181,3.09835419125976,0.00216441074501087,0.00758794439974239,-3.13308913153305
"AC116036.2",0.0283711478065343,7.33493296184762,3.01097064977992,0.00286634143179758,0.00959229251380928,-3.14970480614856
"EVI5",-0.0211378348157333,8.71479895238189,-3.1066007942459,0.00210710590200613,0.00743252061330071,-3.15718940618078
"CCNYL1",0.0269017747447927,7.32718960630082,3.01160363888531,0.00286057995980408,0.00959168455962916,-3.15954790463867
"ADI1",0.0180184366091192,8.68340436119523,3.04540477572662,0.00256793352643259,0.00878171962587061,-3.18993980680768
"TARBP1",0.0257179042885887,8.70656285477501,3.08732204741034,0.00224332026261947,0.00782733599075008,-3.19521463014761
"DZIP3",0.0164817140310697,8.72757931477666,3.12304759294172,0.00199697586131176,0.0071417507051212,-3.19602369259193
"MAGI1",-0.021667241557248,8.68149423586163,-3.02475308973463,0.00274327314673609,0.00926461009673741,-3.20757800400867
"CAPN10",0.0257976587634518,7.25933583007864,3.02312502749248,0.00275755346849227,0.00930674295616141,-3.21934692008203
"PLEK",0.0268276057703898,8.72458477180733,3.10602046507505,0.00211109231138679,0.00744149217349396,-3.22431271463611
"SLC25A38P1",0.0162502929912811,8.75361676394671,3.14847442099908,0.00183713068845035,0.00666250559798766,-3.2299552425472
